,mouse_name,Mouse_ID,human_name,Human_ID
796,Ube2e1,22194,UBE2E1,7324
793,Ube2r2,67615,UBE2R2,54926
928,Ube2t,67196,UBE2T,29089
953,Ubr2,224826,UBR2,23304
35,Ubxn10,212190,UBXN10,127733
208,Ubxn11,67586,UBXN11,91544
36,Ugt8a,22239,UGT8,7368
37,Ulk4,209012,ULK4,54986
757,Unc119b,106840,UNC119B,84747
929,Unk,217331,UNK,85451
838,Urb1,207932,URB1,9875
372,Usp2,53376,USP2,9099
498,Utp6,216987,UTP6,55813
435,Vash2,226841,VASH2,79805
403,Vps18,228545,VPS18,57617
609,Vps37b,330192,VPS37B,79720
689,Vrk1,22367,VRK1,7443
38,Vwa3a,233813,VWA3A,146177
436,Wbscr17,212996,WBSCR17,64409
366,Wdr19,213081,WDR19,57728
930,Wdr34,71820,WDR34,89891
627,Wdr35,74682,WDR35,57539
210,Wdr38,76646,WDR38,401551
362,Wdr54,75659,WDR54,84058
211,Wdr63,242253,WDR63,126820
40,Wdr78,242584,WDR78,79819
665,Wdr92,103784,WDR92,116143
41,Wdr93,626359,WDR93,56964
212,Wfdc5,209232,WFDC5,149708
720,Whrn,73750,WHRN,25861
438,Wnk2,75607,WNK2,65268
721,Wnk4,69847,WNK4,65266
367,Wrap53,216853,WRAP53,55135
213,Xkr4,497097,XKR4,114786
214,Xrra1,446101,XRRA1,143570
898,Yeats2,208146,YEATS2,55689
888,Zbtb2,381990,ZBTB2,57621
722,Zbtb25,109929,ZBTB25,7597
941,Zbtb33,56805,ZBTB33,10009
864,Zbtb37,240869,ZBTB37,84614
586,Zbtb49,75079,ZBTB49,166793
42,Zc2hc1c,72350,ZC2HC1C,79696
383,Zdhhc1,70796,ZDHHC1,29800
812,Zdhhc21,68268,ZDHHC21,340481
495,Zfp41,22701,ZFP41,286128
440,Zfpm2,22762,ZFPM2,23414
44,Zmynd10,114602,ZMYND10,51364
739,Zfp275,27081,ZNF275,10838
798,Zfp410,52708,ZNF410,57862
215,Zfp474,66758,ZNF474,133923
836,Zfp300,245368,ZNF567,163081
942,Zfp7,223669,ZNF7,7553
569,Zfp839,72805,ZNF839,55778
712,Zscan12,22758,ZSCAN12,9753
216,Zscan18,232875,ZSCAN18,65982
356,Zscan22,232878,ZSCAN22,342945
843,Zswim3,67538,ZSWIM3,140831
2310007L24Rik,Prr29,75573,PRR29,92340
1700003M02Rik ,Cfap206,69329,CFAP206,154313
1700009P17Rik,Cfap126,75472,CFAP126,257177
1700019L03Rik,Cfap157,227736,CFAP157,286207
1700026D08Rik,Cfap161,75556,CFAP161,161502
1700026L06Rik,Spaca9,69987,SPACA9,11092
1700101E01Rik,Cfap77,329375,CFAP77,389799
2010015L04Rik,Cfap74,544678,CFAP74,85452
2410018M08Rik,Zbed5,71970,ZBED5,58486
2510049J12Rik,Mkrn2os,70291,MKRN2OS,100129480
2610034B18Rik,Arpin,70420,C15orf38-AP3S2,100526783
Nudt11,Nudt10,102954,NUDT11,55190
Pih1d3,Pih1d3,74708,PIH1D3,139212
Ttc18,Cfap70,76670,CFAP70,118491
Wdr16,Cfap52,71860,CFAP52,146845
Znrd1as,Znrd1as,,ZNRD1ASP,80862
Catip,Catip,,CATIP,
Ccdc11,Cfap53,74453,CFAP53,220136
Ccdc176,Bbof1,72873,BBOF1,80127
Ccdc24,Ccdc24,,CCDC24,149473
Ccdc30,,,CCDC30,728621
E230019M04Rik,,,Pih1h3b,331537
Efcab10,Efcab10,75040,EFCAB10,100130771
Fam154b,Saxo2,330577,SAXO2,283726
Spag6,Spag6,381350,SPAG6,9576
Gm166 ,Ccdc189,233899,CCDC189,90835
AK129341,Cep126,234915,CEP126,57562
Lrdd,Pidd1,57913,PIDD1,55367
Mtl5,Tesmin,17771,TESMIN,9633
Nrg1,Nrg1,211323,NRG1,3084
Tcte3,Tcte3,100041586,TCTE3,6991
A430078G23Rik,Arhgef18,102098,ARHGEF18,23370
AI317395,Mfsd4b1,215929,MFSD4B,91749
C730036E19Rik,Cfap58,381229,CFAP58,159686
E030019B06Rik,Cfap46,212124,CFAP46,54777
S100a2,S100a2,628324,S100A2,6273
Gm101,Cfap221,226356,CFAP221,200373
Gm3336,Gm3336,100502950,LOC729966,729966
1700019L03Rik,Cfap157,227736,CFAP157,286207
1700101E01Rik,Cfap77,329375,CFAP77,389799
4921506M07Rik ,Ttc6,70846,TTC6,319089
4930427A07Rik,Tedc1,104732,C14orf80,283643
4930469G21Rik,Tex50,100502590,LOC730159,730159
4930564B18Rik,Erich6b,75272,ERICH6B,220081
4932418E24Rik,Ccdc187,329366,CCDC187,399693
Epb4.1l3,Epb41l3,13823,EPB41L3,23136
Mxra7,Mxra7,67622,MXRA7,439921
E230008N13Rik,Ccdc180,381522,CCDC180,100499483
Scgb1c1,Scgb1c1,338417,SCGB1C1,147199
Gatsl2,Castor2,80909,CASTOR2,729438
Tmem29,Tmem29,382245,FAM156A,29057
Tgoln2,Tgoln2,22135,TGOLN2,10618
AK129341,Cep126,234915,CEP126,57562
Lrdd,Pidd1,57913,PIDD1,55367
Ccdc147,Cfap58,381229,CFAP58,159686
1700101E01Rik,Cfap157,227736,CFAP157,286207
Stk30,Mok,26448,MOK,5891
Esrra,Esrra,26379,ESRRA,2101
Wdr65,Cfap57,68625,CFAP57,149465
Bmp8b,Bmp8b,12164,BMP8B,656
Ccdc19,Cfap45,71870,CFAP45,25790
Gpr44,Ptgdr2,14764,PTGDR2,11251
4930451G09Rik,4930451G09Rik,74684,C16orf71,146562
9430016H08Rik,Maip1,68115,MAIP1,79568
Gm7173,Cfap47,636104,CFAP47,286464
Irx5,Irx5,54352,IRX5,10265
Hmgn3,Hmgn3,94353,HMGN3,9324
Smim6,Smim6,68528,SMIM6,100130933
Daw1,daw1,556760,DAW1,164781
A330021E22Rik,Cfap69,207686,CFAP69,79846
Rsph3a,Rsph3a,66832,RSPH3,83861
Ccdc104,Cfap36,216618,CFAP36,112942
Pcnxl4,Pcnxl4,67708,PCNX4,64430
Ankrd32,Slf1,105377,SLF1,84250
Adrbk1,Grk2,110355,GRK2,156
Arf2,Arf2,11841,ARF4,378
Lrrfip2,Lrrfip2,71268,LRRFIP2,9209
4632434I11Rik,Ddias,74041,DDIAS,220042
Ccbl2,Kyat3,229905,KYAT3,56267
Pvrl4,Nectin4,71740,NECTIN4,81607
Sgol2,Sgol2,68549,SGO2,151246
Snhg11,Snhg11,319317,SNHG11,128439
Spink2,Spink2,69982,SPINK2,6691
Naprt1,Naprt,223646,NAPRT,93100
Cdkn1c,Cdkn1c,12577,CDKN1C,1028
Mia2,Mia2,338320,MIA2,4253
Tagap1,Tagap1,380608,TAGAP,117289
Fam120aos,Fam120aos,68128,FAM120AOS,158293
Ppfia4,Ppfia4,68507,PPFIA4,8497
Thap6,Thap6,381650,THAP6,152815
AI462493,Uqcc3,107197,UQCC3,790955
Heatr2,Dnaaf5,433956,DNAAF5,54919
Ngfrap1,Bex3,12070,BEX3,27018
Zbed4,Zbed4,223773,ZBED4,9889
Gm608,Usf3,207806,USF3,205717
D17Wsu104e,Mydgf,28106,MYDGF,56005
Fndc1,Fndc1,68655,FNDC1,84624
